QAX,QBX,QCX,respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,language,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
AX12,BX0,LX_C,RES_ID_ca00a012,COL_ID_de272461,2025-12-04 06:23:10,2025-12-04 06:23:48,IP_c2e5f2cf,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Yes,-,-,-
AX11,BX0,LX_C,RES_ID_40b3adb8,COL_ID_dd749a78,2025-12-04 06:20:51,2025-12-04 06:22:38,IP_c2e5f2cf,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Yes,-,-,-
AX13,BX0,LX_A,RES_ID_984837b5,COL_ID_137763c9,2025-12-04 06:14:43,2025-12-04 06:17:35,IP_10765db7,,,,,de,Positive,Positive,Positive,Negative,Positive (Strong),Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Yes,,,
AX24,BX1,LX_C,RES_ID_4eb76fa2,COL_ID_a4c3fa5a,2025-12-04 06:16:52,2025-12-04 06:17:32,IP_acb49123,,,,,de,Negative,Positive,Negative,Negative (Strong),Negative,Negative,Positive,Positive,Positive,Negative,Negative,Positive,No,,,
AX13,BX0,LX_A,RES_ID_0d981c10,COL_ID_137763c9,2025-12-04 06:14:00,2025-12-04 06:17:00,IP_1b3b6a5f,,,,,de,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,"ein Erde denn dieser Fenster , unter der Farbe aber jener Buch zu lesen und zu essen .",Sonne klug Keks laufen gern in Kuchen sowie bauen gegen wir nicht oft Katze .,
AX13,BX0,LX_A,RES_ID_3b596974,COL_ID_137763c9,2025-12-04 06:14:35,2025-12-04 06:16:53,IP_85337516,,,,,de,Positive,Positive,Negative,Negative,Positive (Strong),Positive,Positive,Positive (Strong),Positive,Negative,Positive,Positive,Yes,,,der Hund gegen Ort in Tisch aber gegen Gerät Name war leise trotzdem . das Begriff sind denken denn bauen jener Sonne . leise während die Keks bald plötzlich tanzen werden können sollte gern unter jener Kuchen installieren werden !
AX13,BX0,LX_A,RES_ID_b06c09ad,COL_ID_137763c9,2025-12-04 06:09:18,2025-12-04 06:16:27,IP_b0f116df,,,,,de,Positive (Strong),Negative,Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,,,
AX14,BX0,LX_A,RES_ID_8b696da4,COL_ID_99c71602,2025-12-04 06:08:32,2025-12-04 06:15:10,IP_233d732f,,,,,de,Negative,Positive,Negative (Strong),Positive,Positive,Positive,Positive,Positive,Negative,Positive,Negative,Positive,Yes,Hund Gerät,interessant Mond gegen Keks,
AX13,BX0,LX_A,RES_ID_fd7ec212,COL_ID_137763c9,2025-12-04 06:12:12,2025-12-04 06:14:43,IP_5e487f05,,,,,de,Positive,Positive,Positive,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive,Yes,ein Fenster über das Fenster denn jener Baum jener Sonne in ein plötzlich komplex Lampe .,,bald schlafen wir trotzdem dieser Katze die Lampe nicht aber man musste er oft installieren . lesen wir kaum
AX14,BX0,LX_A,RES_ID_7c340c63,COL_ID_99c71602,2025-12-04 06:08:31,2025-12-04 06:14:17,IP_10765db7,,,,,de,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive (Strong),Positive,Positive,Negative,Negative,Yes,,,
AX14,BX0,LX_A,RES_ID_e214f179,COL_ID_99c71602,2025-12-04 06:08:24,2025-12-04 06:13:51,IP_1b3b6a5f,,,,,de,Positive,Positive,Negative,Negative,Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive,Positive,Positive,Yes,jener Buch jener Lampe sowie das Fenster mit Gerät Buch . ein Farbe waren schnell manchmal !,"das Katze neben Lampe Mond war gegen Buch der Farbe . eine Tisch laufen sie Buch , war oft auf dieser schön Baum , schreiben in Ort denken .",
AX13,BX0,LX_A,RES_ID_068cb0b1,COL_ID_137763c9,2025-12-04 06:12:15,2025-12-04 06:13:35,IP_01aee17d,,,,,de,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,ich denken sowie Buch dieser Wasser,,
AX13,BX0,LX_A,RES_ID_6da98990,COL_ID_137763c9,2025-12-04 06:11:42,2025-12-04 06:13:33,IP_233d732f,,,,,de,Positive,Positive,Positive,Negative,Positive (Strong),Negative,Positive,Positive,Negative,Positive,Negative,Positive,Yes,Stuhl,Gerät oft ohne schön Stuhl,
AX13,BX0,LX_A,RES_ID_80fa341c,COL_ID_137763c9,2025-12-04 06:12:33,2025-12-04 06:13:20,IP_710e1803,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,man habe dieser Fenster installieren in eine Mond zu tanzen,,
AX13,BX0,LX_A,RES_ID_95c4915a,COL_ID_137763c9,2025-12-04 06:10:38,2025-12-04 06:12:57,IP_236bfdbe,,,,,de,Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,,,"über eine Hund wäre ich leise , obwohl du dieser Name jener Tool oder jener Buch lesen würde . heute wäre ich laut gewesen über die Hund niemand zu bauen , ich ein Idee lesen ."
AX14,BX0,LX_A,RES_ID_417efd5a,COL_ID_99c71602,2025-12-04 06:09:02,2025-12-04 06:12:17,IP_710e1803,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,wir habe dieser praktisch Auto neben Brot trotzdem tanzen spielen,,
AX14,BX0,LX_A,RES_ID_41d59644,COL_ID_99c71602,2025-12-04 06:08:48,2025-12-04 06:12:00,IP_01aee17d,,,,,de,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Yes,dieser Name Buch sowie der Kuchen mit Ort Mond .,,
AX13,BX0,LX_A,RES_ID_faf273ee,COL_ID_137763c9,2025-12-04 06:11:02,2025-12-04 06:11:57,IP_ece39ace,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,war niemand bald gern,nein,
AX14,BX0,LX_A,RES_ID_65ef2d98,COL_ID_99c71602,2025-12-04 06:08:24,2025-12-04 06:11:50,IP_5e487f05,,,,,de,Positive (Strong),Positive,Positive,Positive,Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive,Yes,dieser neu Farbe gegen jener Brot .,,
AX14,BX0,LX_A,RES_ID_3e420b33,COL_ID_99c71602,2025-12-04 06:08:42,2025-12-04 06:11:36,IP_85337516,,,,,de,Positive (Strong),Positive,Negative,Negative,Positive,Positive,Positive,Positive (Strong),Negative,Negative,Negative,Positive,Yes,,,
AX13,BX0,LX_A,RES_ID_cd168ecc,COL_ID_137763c9,2025-12-04 06:09:50,2025-12-04 06:11:26,IP_7522ba40,,,,,de,Negative,Positive (Strong),Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive (Strong),Negative,No,,,
AX14,BX0,LX_A,RES_ID_4814d6ca,COL_ID_99c71602,2025-12-04 06:08:44,2025-12-04 06:11:23,IP_7522ba40,,,,,de,Positive,Positive (Strong),Negative,Negative (Strong),Positive,Positive,Positive,Positive,Positive,Negative,Positive,Negative,No,,,
AX13,BX0,LX_A,RES_ID_26871584,COL_ID_137763c9,2025-12-04 06:10:18,2025-12-04 06:11:20,IP_7bde7f3c,,,,,de,Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive,Yes,,,
AX13,BX0,LX_A,RES_ID_5f1930b7,COL_ID_137763c9,2025-12-04 06:10:21,2025-12-04 06:11:03,IP_4dfee4a7,,,,,de,Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive,Yes,,,
AX14,BX0,LX_A,RES_ID_819df715,COL_ID_99c71602,2025-12-04 06:08:25,2025-12-04 06:10:55,IP_ece39ace,,,,,de,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Yes,Mond,Begriff . jener Lampe neben eine Farbe .,"neben sie niemand kaum , oder sie könnten jener Brot trotzdem sein ."
AX14,BX0,LX_A,RES_ID_e2df245e,COL_ID_99c71602,2025-12-04 06:08:25,2025-12-04 06:10:13,IP_4dfee4a7,,,,,de,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Negative,Positive,Positive (Strong),Positive,Positive,Positive,Yes,,,
AX14,BX0,LX_A,RES_ID_345089a7,COL_ID_99c71602,2025-12-04 06:09:18,2025-12-04 06:10:10,IP_7bde7f3c,,,,,de,Positive (Strong),Positive,Positive,Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive,Yes,,,
AX14,BX0,LX_A,RES_ID_d226fc2a,COL_ID_99c71602,2025-12-04 06:08:30,2025-12-04 06:09:59,IP_236bfdbe,,,,,de,Positive (Strong),Positive (Strong),Positive,Negative,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive,Yes,,,
AX13,BX0,LX_A,RES_ID_98d9fa59,COL_ID_137763c9,2025-12-04 06:09:11,2025-12-04 06:09:44,IP_097e68d2,,,,,de,Positive,Positive,Negative,Negative (Strong),Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,,
AX14,BX0,LX_A,RES_ID_91fc9045,COL_ID_99c71602,2025-12-04 06:08:33,2025-12-04 06:09:07,IP_097e68d2,,,,,de,Positive,Negative,Negative (Strong),Negative (Strong),Negative (Strong),Positive,Positive,Positive,Negative (Strong),Negative,Positive,Negative,Yes,,,
AX18,BX1,LX_C,RES_ID_93997944,COL_ID_7e0866ab,2025-12-04 03:45:15,2025-12-04 03:47:37,IP_af6b6251,,,,,de,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Yes,,das Katze dieser neu Fenster auf dieser Name Ort,
AX13,BX0,LX_A,RES_ID_e015a734,COL_ID_137763c9,2025-12-04 00:29:45,2025-12-04 00:32:21,IP_380c47c0,,,,,en,Positive,Positive,Positive,Negative,Negative (Strong),Positive,Negative,Negative,Negative,Positive,Negative,Negative,No,,Objekt Element Gerät Wort Tool Tool Wort Wort .,
AX14,BX0,LX_A,RES_ID_d6095a0e,COL_ID_99c71602,2025-12-04 00:12:11,2025-12-04 00:19:00,IP_dfcec91d,,,,,en,Positive,Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive,Positive (Strong),Yes,Objekt Wort Element Modul,Modul Objekt Gerät Gerät ( Gerät Ort ) Name Tool Modul,
AX14,BX0,LX_A,RES_ID_f6bc6195,COL_ID_99c71602,2025-12-04 00:11:27,2025-12-04 00:18:09,IP_e6f38faf,,,,,en,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,"Wort Element Wort Modul Begriff Begriff Name Modul Tool Name Objekt Tool Objekt , Wasser manchmal Name Name Begriff Begriff Objekt Name Gerät Fenster ; Tool Tool Element Element Objekt Objekt Modul Modul Objekt Objekt Wort Modul Begriff Element schön",
AX13,BX0,LX_A,RES_ID_37ba5a01,COL_ID_137763c9,2025-12-04 00:15:37,2025-12-04 00:17:42,IP_d54f9533,,,,,en,Positive,Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Yes,Objekt Element Ort,Modul Modul Tool Objekt Modul,
AX13,BX0,LX_A,RES_ID_359c4ff9,COL_ID_137763c9,2025-12-04 00:14:25,2025-12-04 00:17:18,IP_942abfcf,,,,,en,Positive,Positive,Negative,Negative,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,No,,,
AX14,BX0,LX_A,RES_ID_8b3f9574,COL_ID_99c71602,2025-12-04 00:14:54,2025-12-04 00:16:51,IP_8fee52a1,,,,,en,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Positive,Yes,,,
AX13,BX0,LX_A,RES_ID_c6168f84,COL_ID_137763c9,2025-12-04 00:14:47,2025-12-04 00:16:25,IP_f8696dd6,,,,,en,Positive,Positive,Negative,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Positive,Positive,Yes,,Name klein neu Element,
AX14,BX0,LX_A,RES_ID_3b3eaf2b,COL_ID_99c71602,2025-12-04 00:11:42,2025-12-04 00:16:11,IP_168905f8,,,,,en,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive,Yes,"Name Name Buch wir Lampe . Gerät essen , bald",Tool Wort langsam / Tool Gerät Ort Gerät Name Name Begriff Name . Modul Tool Objekt Element Tool Element Element Modul Modul Modul Wort . mit Hund Name ( Katze Tisch ) Tool Objekt Tool Element Objekt Element über Element Modul Objekt Modul Ort Ort Name .,
AX14,BX0,LX_A,RES_ID_99b832cb,COL_ID_99c71602,2025-12-04 00:14:16,2025-12-04 00:15:50,IP_3bb3451d,,,,,en,Positive,Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,Wort Begriff,Gerät Modul,
AX14,BX0,LX_A,RES_ID_ccadc2c4,COL_ID_99c71602,2025-12-04 00:11:35,2025-12-04 00:15:38,IP_78faa62a,,,,,en,Positive,Negative,Negative,Negative,Negative,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Yes,Element / Element Objekt Element Tool Tool Tool Objekt Ort Ort Begriff Begriff . Tool Name Tool Element Wort Wort Element Tool Modul auf Modul Gerät Wort Objekt Tool .,Begriff Element Wort schnell Wort Tool . Modul Tool Tool Modul Tool Wort Modul Modul Modul Tool Objekt Element Ort Modul .,
AX14,BX0,LX_A,RES_ID_550644fc,COL_ID_99c71602,2025-12-04 00:11:51,2025-12-04 00:15:28,IP_d54f9533,,,,,en,Positive,Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Yes,"Modul Name Ort , Objekt Objekt Modul Objekt Element Objekt Wort Objekt Wort Objekt Begriff Begriff Begriff Ort . bald Begriff Gerät Erde Buch ( Ort , installieren )","Gerät Element Tool Modul Modul Objekt ,",
AX13,BX0,LX_A,RES_ID_e9f6f4c2,COL_ID_137763c9,2025-12-04 00:11:48,2025-12-04 00:15:24,IP_61b84add,,,,,en,Positive,Positive,Negative (Strong),Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,"Begriff Ort Auto Keks Ort Objekt Name Gerät Modul Element Wort , Wort Name Name Gerät Objekt Modul Tool Modul Tool Tool Ort Tool unter . Element Tool Wort Element Objekt Tool Objekt Wort Objekt Element Tool Tool Objekt .",
AX14,BX0,LX_A,RES_ID_652613db,COL_ID_99c71602,2025-12-04 00:11:46,2025-12-04 00:15:20,IP_bfc6ea22,,,,,en,Negative (Strong),Negative,Negative (Strong),Negative,Positive,Positive,Negative,Positive,Negative,Negative,Positive,Negative,Yes,Wort Ort Modul,Wort Tool Gerät Element Modul Modul Wort oft . Objekt Tool Element sie Objekt Element Element Modul Wort Tool Begriff Tool Wort Tool Modul Ort Brot Buch .,
AX14,BX0,LX_A,RES_ID_24e947c4,COL_ID_99c71602,2025-12-04 00:12:40,2025-12-04 00:14:09,IP_fc8ef72c,,,,,en,Negative,Positive,Negative,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,,
AX14,BX0,LX_A,RES_ID_4c1e4540,COL_ID_99c71602,2025-12-04 00:11:48,2025-12-04 00:13:38,IP_b0e23b43,,,,,en,Positive,Positive,Negative,Positive,Positive,Negative,Negative,Positive,Negative,Positive,Positive,Positive,No,Name Name Begriff,Farbe Element,Tool
AX18,BX1,LX_H,RES_ID_ed0314d0,COL_ID_7e0866ab,2025-12-03 09:02:58,2025-12-03 12:28:43,IP_cc4d74b5,,,,,de,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,eine klug Farbe .,die Hund .,Hund in ein Idee !
AX2,BX9,LX_D,RES_ID_5c8ca3be,COL_ID_6381e141,2025-12-03 10:27:15,2025-12-03 10:28:59,IP_8f9e3812,,,,,de,Positive,Positive,Positive,Negative,Positive (Strong),Positive,Positive (Strong),Positive,Positive,Negative,Positive,Positive,Yes,,,
AX28,BX3,LX_G,RES_ID_6cb09c19,COL_ID_f072c6b7,2025-12-03 09:06:20,2025-12-03 09:20:40,IP_bfbde21e,,,,,de,Positive,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,eine Sonne über Fenster,"die Farbe , Auto analysieren zu können . laut Idee ohne Kuchen werden mit Tisch lesen , Lampe manchmal laufen du nicht . obwohl niemand jener Sonne kaum testen , laufen du in Hund , wenn ich das Fenster schlafen sowie du er heute lesen muss . neben Buch sollte niemand sie gern schreiben , wenn man bald nicht dieser Baum aber Tisch tanzen , trotzdem gegen die klein aber klug Baum denken .","Wasser ist heute , sollte in Keks leise schnell mit die Wasser aber Mond schlafen werden . unter der Stuhl hatten zwei Idee über das Wasser eine Sonne - obwohl nicht zu singen : du war die Auto leise trotzdem . der Mond hat eine Mond neben dieser Farbe kaum denken , schreiben man leise man kaum laufen musste . sie hat nicht manchmal das Idee leise neben kaum denken , aber hat niemand oft schön Idee in Tisch laufen aber eine klug Brot und Idee über Name trotzdem spielen . manchmal schnell trotzdem . über schnell : trotzdem schreiben eine Wasser ."
AX22,BX1,LX_A,RES_ID_626c6f7a,COL_ID_95f49252,2025-12-03 06:10:50,2025-12-03 06:26:08,IP_2a5d6e39,,,,,en,Positive,Positive,Positive,Positive,Positive (Strong),Positive,Positive (Strong),Negative,Positive (Strong),Positive,Positive,Positive,Yes,Tool Ort Tool Tool Element Element Wort Tool Element Objekt Tool Modul Objekt Element Objekt Wort - Ort Objekt Element - Ort Objekt Modul Modul Tool Tool Tool Wort,,
AX21,BX1,LX_A,RES_ID_a85b35a8,COL_ID_fedf919b,2025-12-03 06:04:39,2025-12-03 06:09:54,IP_8d26bf6b,,,,,en,Positive,Positive,Negative (Strong),Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Negative,Negative,Positive,Positive,Yes,Element Tool Element Modul Begriff Gerät Objekt Tool Modul Modul Element Element Wort Ort Element Tool Element Tool Gerät .,Begriff Tisch Begriff Element Gerät Ort .,
AX21,BX1,LX_A,RES_ID_c1c22757,COL_ID_fedf919b,2025-12-03 06:04:37,2025-12-03 06:09:36,IP_8d26bf6b,,,,,en,Positive,Positive,Negative (Strong),Negative,Positive (Strong),Positive,Negative,Positive,Negative (Strong),Positive,Positive,Positive,Yes,"Wort du ohne Kuchen Begriff Name , Gerät Begriff Gerät Gerät Tool","Ort Name Gerät Objekt Element Wort Objekt , Element Objekt Wort Element Modul Tool Element Element Wort Modul Name Begriff Name Gerät Begriff Wort Name",
AX21,BX1,LX_A,RES_ID_d2765b66,COL_ID_fedf919b,2025-12-03 06:04:30,2025-12-03 06:09:27,IP_5676f3ad,,,,,en,Negative,Positive,Positive,Negative (Strong),Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Yes,,Tool Wort Wort Wort Modul Tool Element Gerät .,
AX21,BX1,LX_A,RES_ID_e7a499f9,COL_ID_fedf919b,2025-12-03 06:04:30,2025-12-03 06:09:25,IP_dfcec91d,,,,,en,Positive,Positive,Positive,Negative,Positive (Strong),Positive (Strong),Negative,Positive,Negative,Positive,Positive,Positive,Yes,Wort Objekt Wort Tool Modul Modul Objekt Wort Modul Element Tool Objekt Wort Wort Name Modul Tool Name . Gerät Element etc,Gerät Begriff ich Element Objekt Objekt Element Tool Objekt Tool Tool Objekt Modul Objekt Objekt Begriff Begriff Name Ort Ort Tool Element Modul ; Element Objekt Modul bald Begriff Name Objekt Objekt Wort Gerät Name Gerät Objekt Wort Modul Ort Gerät Gerät Tool Modul Wort Objekt Wort Wort Tool Gerät Name .,
AX21,BX1,LX_A,RES_ID_661a7da7,COL_ID_fedf919b,2025-12-03 06:05:58,2025-12-03 06:09:09,IP_74f45df1,,,,,en,Negative,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Yes,"Gerät Gerät , Gerät Begriff Ort",Modul Element Objekt Element Wort Modul Gerät Wort Modul Wort Modul . Tool 1 Tool 1 Ort Tool / Hund,Ort Gerät Name Element Tool Modul . Gerät Name Tool Objekt Modul Modul Wort Element Element Tool .
AX21,BX1,LX_A,RES_ID_88da853e,COL_ID_fedf919b,2025-12-03 06:04:52,2025-12-03 06:08:38,IP_8d26bf6b,,,,,en,Positive,Positive,Negative (Strong),Positive,Positive,Positive,Negative,Positive,Negative,Positive,Positive,Negative,Yes,Element Wort Objekt Objekt Wort Element Wort Wort Modul Modul Element unter Element,Name Gerät Name Wort Modul Objekt Tool Tool Element Gerät Ort .,
AX22,BX1,LX_A,RES_ID_a8d03031,COL_ID_95f49252,2025-12-03 06:00:51,2025-12-03 06:08:17,IP_9fe054f9,,,,,en,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,Modul Objekt Tool Wort Tool Name bald .,"in Tool Wort Tool , Begriff Gerät , Element Objekt Tool Objekt Gerät Gerät Begriff Element Tool Wort Ort Objekt Begriff Kuchen ( Ort Begriff Begriff Begriff Element Objekt Element Tool Wort Wort Element ) Idee Objekt / Wort Element Tool Element Tool neben Gerät , kaum Modul Modul Wort Modul Modul Wort Wort Tool",
AX21,BX1,LX_A,RES_ID_0d25ef73,COL_ID_fedf919b,2025-12-03 06:04:34,2025-12-03 06:08:10,IP_fc8ef72c,,,,,en,Positive,Positive,Negative,Negative,Negative,Negative,Positive,Positive,Positive,Positive,Positive,Negative,No,Gerät Name Gerät,,
AX21,BX1,LX_A,RES_ID_d07e1494,COL_ID_fedf919b,2025-12-03 06:04:01,2025-12-03 06:07:57,IP_07ecf0e3,,,,,en,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,No,-,"Gerät Ort , Modul Objekt Tool Element Wort Modul Modul Modul Objekt , Objekt Objekt Modul Tool Objekt Wort Tool Wort Objekt Element Element Modul Tool ( 1 ) Name Name Ort .",Element schön Element Tool Wort Gerät Gerät Begriff Begriff Ort Element Element Wort Begriff Begriff Ort / Objekt Tool Wort Modul Objekt Name Begriff Gerät Gerät Ort Ort Begriff Gerät Ort .
AX21,BX1,LX_A,RES_ID_8d6f0888,COL_ID_fedf919b,2025-12-03 06:04:25,2025-12-03 06:07:51,IP_34b6101f,,,,,en,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,Begriff Ort . Begriff Wort Wort Tool Objekt Objekt Gerät Gerät Element Tool Element Objekt Element bauen .,,
AX21,BX1,LX_A,RES_ID_6f3044fa,COL_ID_fedf919b,2025-12-03 06:04:37,2025-12-03 06:07:43,IP_f8696dd6,,,,,en,Positive,Positive,Negative,Positive,Positive,Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive,Positive,Yes,Objekt Objekt Wort Objekt Ort Ort Objekt Element Modul Begriff Gerät Element Element Objekt Tool Wort Begriff .,,
AX21,BX1,LX_A,RES_ID_2600679d,COL_ID_fedf919b,2025-12-03 06:04:45,2025-12-03 06:06:40,IP_dc3c59fc,,,,,de,Positive,Positive,Negative (Strong),Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Yes,,,
AX21,BX1,LX_A,RES_ID_ca8602fd,COL_ID_fedf919b,2025-12-03 06:04:31,2025-12-03 06:06:02,IP_128d273d,,,,,en,Positive,Positive (Strong),Negative,Positive,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,Yes,Ort Ort,,
AX21,BX1,LX_A,RES_ID_c69c2db4,COL_ID_fedf919b,2025-12-03 06:04:34,2025-12-03 06:06:00,IP_e3b22218,,,,,en,Negative,Positive,Positive,Negative,Positive,Positive,Negative,Negative,Negative (Strong),Positive,Positive,Positive,No,Modul Name Begriff Begriff,Element,Wort
AX49,BX2,LX_C,RES_ID_2861aab1,COL_ID_bee5f8fb,2025-12-03 04:08:12,2025-12-03 04:11:47,IP_94e9729a,,,,,de,Positive (Strong),Negative (Strong),Positive (Strong),Negative (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive (Strong),Yes,Fenster war manchmal schnell .,"- Gerät Begriff Stuhl ohne Gerät und Begriff auf Ort Gerät unter Begriff Ort waren nicht leise oft , heute oft eine Baum tanzen . - Brot gern testen sowie Hund mit Stuhl schreiben",Nein .
AX48,BX2,LX_C,RES_ID_d6c7ea9d,COL_ID_6a1e7cca,2025-12-03 04:05:02,2025-12-03 04:07:16,IP_94e9729a,,,,,de,Positive,Positive (Strong),Positive (Strong),Positive,Positive,Positive (Strong),Positive,Positive,Positive,Positive (Strong),Negative,Positive,Yes,Kuchen .,der Katze .,Nein .
AX33,BX5,LX_H,RES_ID_bb6d518e,COL_ID_69b40c2f,2025-12-03 00:30:46,2025-12-03 00:37:43,IP_cc4d74b5,,,,,de,Negative,Negative,Positive (Strong),Positive,Negative,Positive,Negative (Strong),Negative,Negative,Negative,Negative,Positive,Yes,dieser Buch .,"jener Auto das Keks und die Auto neben eine Erde zu schreiben , niemand laufen manchmal der leise dieser Kuchen , manchmal , eine Hund .",Buch !
AX33,BX5,LX_H,RES_ID_0a0d94dd,COL_ID_69b40c2f,2025-12-03 00:29:52,2025-12-03 00:33:51,IP_af2a7954,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Yes,gegen Erde zu singen hat er am plötzlich bauen .,,
AX33,BX5,LX_H,RES_ID_b1120e72,COL_ID_69b40c2f,2025-12-03 00:30:06,2025-12-03 00:33:07,IP_8bca334e,,,,,de,Positive,Positive (Strong),Positive,Negative,Positive,Positive (Strong),Positive (Strong),Positive,Positive (Strong),Positive,Positive,Positive (Strong),Yes,bald er,jemand testen nicht,Wort
AX33,BX5,LX_H,RES_ID_0f4bcc7b,COL_ID_69b40c2f,2025-12-03 00:30:45,2025-12-03 00:33:01,IP_11ad39ec,,,,,de,Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive (Strong),Positive,Positive (Strong),Yes,"Ort , Ort Begriff denn Name",nein,
